Horas_Estudio,Asistencia,Involucramiento_Padres,Acceso_a_Recursos,Actividades_Extracurriculares,Horas_Sueño,Puntajes_Anteriores,Nivel_Motivacion,Acceso_a_Internet,Sesiones_Tutorias,Ingreso_Familiar,Calidad_Maestro,Tipo_Escuela,Influencias_Compañeros,Actividad_Fisica,Discapacidad_de_Aprendizaje,Nivel_Educacion_Padres,Distancia_Hogar,Genero,Puntaje_Examen
19.0,79.0,Media,Alta,Si,7.0,0,Media,Si,1.0,Alta,Media,Publica,Negativa,4.0,No,Universidad,Lejos,Femenino,68.0
0,84.0,Media,Media,Si,10.0,99.0,Baja,Si,2.0,Desconocido,Media,Privada,Positivo,3.0,No,Preparatoria,Moderado,Masculino,69.0
22.0,0,Media,Media,Si,0.0,71.0,Alta,Si,0,Media,Alta,Publica,Neutral,4.0,No,Universidad,Cerca,Femenino,72.0
17.0,98.0,Baja,Alta,No,5.0,75.0,Baja,Si,1.0,Baja,Baja,Privada,Positivo,3.0,Si,Universidad,Cerca,Masculino,0.0
15.0,94.0,Desconocido,Media,No,8.0,94.0,Baja,Si,1.0,Alta,invalid,Publica,Positivo,4.0,Desconocido,Preparatoria,Moderado,Masculino,68.0
21.0,96.0,Media,Alta,No,0.0,63.0,Media,Si,1.0,Media,Desconocido,Privada,Negativa,2.0,No,Posgrado,Lejos,Femenino,70.0
0,79.0,Alta,Media,Si,6.0,59.0,Media,Si,0,Media,Alta,Publica,Positivo,3.0,No,Posgrado,Lejos,Masculino,68.0
22.0,86.0,Media,Media,Si,5.0,0,Alta,Si,2.0,Media,Media,Publica,Positivo,3.0,No,Universidad,Moderado,Masculino,69.0
10.0,96.0,Media,Media,No,4.0,99.0,Media,Si,0,Media,Media,Privada,Negativa,5.0,No,Universidad,Cerca,Femenino,68.0
26.0,0,Media,Media,No,5.0,64.0,Baja,Si,0.0,Media,Media,Publica,Positivo,5.0,No,Universidad,Lejos,Femenino,66.0
23.0,98.0,Media,Media,Desconocido,9.0,88.0,Alta,Si,1.0,Baja,Media,Publica,Negativa,4.0,No,Posgrado,Moderado,Femenino,72.0
22.0,77.0,Media,Media,Si,7.0,72.0,Media,Si,2.0,Media,Alta,Publica,Neutral,3.0,No,Preparatoria,Cerca,Masculino,67.0
26.0,84.0,Baja,Desconocido,No,4.0,62.0,Media,No,3.0,Alta,Alta,Publica,Positivo,2.0,No,Preparatoria,Cerca,Masculino,70.0
30.0,88.0,Alta,Media,Si,0.0,96.0,Media,Si,1.0,Desconocido,Alta,Desconocido,Neutral,3.0,Si,Preparatoria,Cerca,Masculino,73.0
26.0,98.0,Media,Baja,Si,9.0,73.0,Alta,Si,1.0,Alta,Baja,Publica,Neutral,6.0,No,Posgrado,Moderado,Masculino,73.0
9.0,0,Media,Media,No,0.0,78.0,Baja,Si,1.0,Media,Baja,Publica,Neutral,2.0,No,Preparatoria,Cerca,Femenino,60.0
12.0,90.0,invalid,Alta,No,6.0,61.0,Baja,Si,2.0,Media,Alta,Publica,Neutral,3.0,No,Universidad,Cerca,Masculino,67.0
16.0,81.0,Alta,Media,Si,7.0,66.0,Media,Si,3.0,Alta,Alta,Privada,Positivo,4.0,No,Preparatoria,Cerca,Masculino,69.0
20.0,71.0,Media,Baja,No,0.0,87.0,Alta,Si,1.0,Media,Media,Publica,Negativa,5.0,No,Preparatoria,Cerca,Masculino,65.0
23.0,91.0,Baja,Alta,Si,9.0,67.0,Baja,Si,2.0,Baja,Media,Publica,Neutral,4.0,No,Desconocido,Cerca,Femenino,70.0
16.0,82.0,Alta,Alta,Si,6.0,75.0,Baja,Si,3.0,Media,Desconocido,Publica,Neutral,0,No,Universidad,Moderado,Femenino,68.0
21.0,0,Media,Baja,No,6.0,56.0,Media,Desconocido,1.0,Baja,Desconocido,Privada,Negativa,2.0,No,Universidad,Cerca,Femenino,66.0
0,73.0,Desconocido,Alta,Si,8.0,93.0,Media,Si,0,Baja,Alta,Publica,Positivo,4.0,Desconocido,Universidad,Lejos,Masculino,65.0
16.0,79.0,Baja,Media,Si,9.0,87.0,Media,Si,1.0,Baja,Media,Publica,Neutral,2.0,No,Universidad,Moderado,Femenino,0.0
12.0,85.0,Alta,Alta,Si,7.0,88.0,Alta,Si,1.0,Baja,Media,Publica,Neutral,0.0,No,Universidad,Lejos,Femenino,67.0
14.0,76.0,Alta,Media,Si,8.0,59.0,Baja,Si,3.0,Media,Media,Privada,Neutral,5.0,No,Preparatoria,Moderado,Masculino,65.0
12.0,68.0,Alta,Alta,Si,7.0,75.0,Media,Si,1.0,Media,Baja,Desconocido,invalid,0,No,Preparatoria,Cerca,Masculino,64.0
14.0,98.0,Alta,Alta,No,7.0,51.0,Media,Si,0.0,Media,Baja,Publica,Positivo,1.0,Si,Preparatoria,Cerca,Masculino,67.0
26.0,80.0,Media,Baja,Si,6.0,66.0,Media,Si,2.0,Alta,Media,Publica,Neutral,4.0,No,Posgrado,Cerca,Masculino,70.0
14.0,89.0,Media,Baja,Si,5.0,67.0,Baja,No,3.0,Baja,Baja,Privada,Neutral,3.0,No,Preparatoria,Desconocido,Femenino,63.0
36.0,76.0,Media,Media,No,6.0,96.0,Media,Si,1.0,Baja,Media,Privada,Neutral,2.0,Desconocido,Universidad,Cerca,Masculino,71.0
0,74.0,Alta,Baja,No,6.0,100.0,Baja,Si,2.0,Alta,Baja,Privada,Positivo,3.0,No,Preparatoria,Cerca,Masculino,68.0
21.0,76.0,Media,Media,No,7.0,81.0,Media,Si,0.0,Media,Desconocido,Privada,Positivo,2.0,No,Universidad,Moderado,Femenino,67.0
15.0,76.0,Alta,Alta,Si,9.0,76.0,Media,Si,1.0,Media,Alta,Publica,Neutral,2.0,No,Posgrado,Lejos,Femenino,0.0
24.0,0,Baja,Desconocido,Si,7.0,72.0,Desconocido,Si,0.0,Media,Alta,Publica,Positivo,2.0,Desconocido,Posgrado,Moderado,Femenino,68.0
17.0,82.0,Alta,Media,No,6.0,51.0,Media,Si,1.0,Baja,Media,Publica,Positivo,3.0,No,Posgrado,Moderado,Masculino,66.0
21.0,80.0,Media,Media,Si,8.0,90.0,Media,Si,0.0,Media,Desconocido,Publica,Negativa,4.0,No,Universidad,Cerca,Masculino,68.0
35.0,65.0,Alta,Media,Si,7.0,84.0,Alta,Si,0.0,Media,Media,Publica,Positivo,2.0,No,Preparatoria,Moderado,Masculino,70.0
19.0,80.0,Baja,Baja,No,8.0,82.0,Media,Si,5.0,Baja,Baja,Publica,Positivo,0,No,Universidad,Cerca,Masculino,67.0
27.0,67.0,Baja,Media,Si,6.0,90.0,Media,Si,2.0,Alta,Alta,Desconocido,Neutral,3.0,No,Preparatoria,Moderado,Masculino,67.0
16.0,65.0,Baja,Alta,No,9.0,0,Baja,Si,2.0,Baja,Media,Publica,Negativa,2.0,No,Preparatoria,Cerca,Masculino,62.0
20.0,0,Media,Alta,No,9.0,69.0,Baja,Si,0.0,Baja,Baja,Publica,Negativa,3.0,Si,Preparatoria,Cerca,Masculino,67.0
31.0,84.0,Media,Alta,No,7.0,71.0,Baja,Si,4.0,Baja,Media,Publica,Negativa,4.0,No,Preparatoria,Lejos,Masculino,70.0
16.0,86.0,Alta,Alta,No,8.0,99.0,Media,Si,4.0,Baja,Alta,Privada,Neutral,4.0,No,Universidad,Cerca,invalid,72.0
31.0,76.0,Media,Media,Si,9.0,83.0,Media,Si,2.0,Alta,Media,Privada,Negativa,3.0,No,Preparatoria,Desconocido,Femenino,70.0
24.0,96.0,Baja,Alta,No,6.0,93.0,Media,Si,2.0,Baja,Media,Publica,Neutral,2.0,Desconocido,Preparatoria,Moderado,Femenino,94.0
17.0,86.0,Media,Media,No,0.0,61.0,Media,No,2.0,Alta,Media,Publica,Positivo,3.0,No,Preparatoria,Moderado,Masculino,66.0
24.0,91.0,Baja,Baja,Si,7.0,66.0,Alta,Si,2.0,Baja,Alta,Publica,Neutral,3.0,No,Preparatoria,Cerca,Desconocido,69.0
26.0,75.0,Alta,Media,No,5.0,70.0,Baja,Si,0.0,Alta,Baja,Privada,Neutral,2.0,No,Posgrado,Cerca,Masculino,68.0
24.0,98.0,Alta,Baja,No,8.0,66.0,Alta,Si,2.0,Baja,Media,Publica,Positivo,1.0,No,Preparatoria,Moderado,Masculino,71.0
11.0,93.0,Alta,Media,No,9.0,94.0,Desconocido,Si,4.0,Baja,Alta,Publica,Neutral,4.0,No,Preparatoria,Moderado,Masculino,69.0
16.0,94.0,Media,Desconocido,No,7.0,76.0,Baja,Si,2.0,Media,Media,Publica,Neutral,3.0,Si,Preparatoria,Cerca,Femenino,67.0
19.0,67.0,Baja,Desconocido,Si,8.0,98.0,Media,Si,2.0,Baja,Media,Privada,Desconocido,2.0,No,Posgrado,Cerca,Femenino,64.0
20.0,71.0,Media,Media,Si,9.0,66.0,Media,Si,1.0,Media,Baja,Privada,Negativa,5.0,Si,Universidad,Cerca,Femenino,63.0
24.0,71.0,Media,Alta,Si,6.0,52.0,Media,Si,2.0,Media,Media,Privada,Neutral,3.0,No,Universidad,Desconocido,Femenino,66.0
0,71.0,Alta,Media,Si,8.0,57.0,Baja,No,2.0,Desconocido,Media,Publica,Positivo,1.0,No,Posgrado,Cerca,Femenino,66.0
12.0,94.0,Baja,Alta,Si,6.0,61.0,Media,Si,3.0,Alta,Alta,Publica,Neutral,4.0,No,Universidad,Cerca,Masculino,69.0
22.0,61.0,Baja,Baja,Si,6.0,82.0,Baja,Si,4.0,Media,Media,Desconocido,Positivo,4.0,No,Preparatoria,Moderado,Femenino,64.0
24.0,63.0,Alta,Media,No,8.0,59.0,Baja,Si,1.0,Baja,Desconocido,Publica,Neutral,3.0,Si,Preparatoria,Cerca,Masculino,62.0
23.0,71.0,Media,Media,Si,7.0,69.0,Alta,Si,3.0,Baja,Media,Publica,Positivo,5.0,Si,Desconocido,Lejos,Femenino,66.0
26.0,68.0,Media,Alta,Si,8.0,90.0,Media,Desconocido,4.0,Baja,Alta,Privada,Neutral,3.0,No,Preparatoria,Cerca,Desconocido,0.0
25.0,69.0,Alta,Media,Si,7.0,56.0,Media,Si,2.0,Baja,Media,Desconocido,Neutral,4.0,No,Preparatoria,Cerca,Masculino,67.0
23.0,92.0,Baja,Media,No,8.0,54.0,Media,Si,0.0,Alta,Baja,Publica,Positivo,1.0,No,Posgrado,Cerca,Femenino,68.0
20.0,83.0,Alta,Baja,No,9.0,77.0,Alta,Si,0.0,Baja,Media,Publica,Positivo,3.0,Si,Desconocido,Cerca,Masculino,67.0
invalid,60.0,Media,Media,No,9.0,85.0,Desconocido,Si,0.0,Media,Alta,Publica,Positivo,4.0,No,Posgrado,Cerca,Masculino,62.0
23.0,77.0,Baja,Media,Si,8.0,96.0,Media,Si,1.0,Alta,Media,Privada,Neutral,1.0,Si,Universidad,Cerca,Masculino,67.0
21.0,76.0,Media,Alta,Si,8.0,83.0,Media,Si,0.0,Baja,Media,Publica,Positivo,5.0,No,Preparatoria,Cerca,Masculino,68.0
22.0,65.0,Desconocido,Media,No,7.0,97.0,Baja,Si,2.0,Media,Alta,Privada,Neutral,4.0,No,Preparatoria,Moderado,Femenino,64.0
12.0,87.0,Media,Baja,Si,7.0,62.0,Media,No,2.0,Media,Media,Publica,Neutral,4.0,No,Preparatoria,Cerca,Femenino,64.0
14.0,88.0,Media,Media,No,8.0,67.0,Media,Si,0,Alta,Desconocido,Publica,Neutral,3.0,No,Posgrado,Lejos,Masculino,66.0
0,89.0,Desconocido,Baja,Si,7.0,92.0,Media,Si,2.0,Baja,Alta,Publica,Positivo,2.0,No,Posgrado,Moderado,Masculino,72.0
20.0,89.0,Media,Alta,Si,8.0,91.0,Media,Si,2.0,Media,Media,Publica,Positivo,0,No,Preparatoria,Cerca,Femenino,0.0
24.0,0,Media,Alta,Si,9.0,83.0,Alta,Si,2.0,Media,Baja,Publica,Positivo,3.0,Desconocido,Preparatoria,Cerca,Masculino,66.0
20.0,98.0,Baja,Media,No,7.0,0,Alta,Si,4.0,Media,Desconocido,Privada,Positivo,1.0,No,Universidad,Cerca,Desconocido,72.0
20.0,93.0,Alta,Media,Si,4.0,51.0,Baja,Si,1.0,Media,Media,Publica,Positivo,3.0,No,Desconocido,Cerca,Desconocido,0.0
0,96.0,Alta,Alta,Si,10.0,64.0,Baja,Si,2.0,Desconocido,Media,Privada,Neutral,3.0,Si,Preparatoria,Cerca,Femenino,72.0
17.0,61.0,Baja,Baja,Si,6.0,58.0,Media,Si,1.0,Media,Alta,Publica,Neutral,4.0,No,Preparatoria,Cerca,Masculino,60.0
21.0,97.0,Desconocido,Media,Si,7.0,53.0,Desconocido,Si,0.0,Alta,Media,Publica,Neutral,2.0,No,Preparatoria,Moderado,Masculino,69.0
17.0,92.0,Media,Alta,No,8.0,89.0,Media,Si,0.0,Baja,Desconocido,Publica,Positivo,3.0,Si,Preparatoria,Cerca,Masculino,68.0
17.0,93.0,Baja,Media,Si,9.0,57.0,Alta,Si,3.0,Baja,Alta,Privada,Neutral,2.0,No,Universidad,Cerca,Masculino,69.0
18.0,64.0,Media,Desconocido,Desconocido,10.0,68.0,Baja,Si,1.0,Baja,Media,Publica,Positivo,5.0,No,Preparatoria,Cerca,Masculino,62.0
21.0,90.0,Media,Media,Si,6.0,99.0,Baja,Si,2.0,Baja,Alta,Publica,Positivo,2.0,No,Desconocido,Moderado,Masculino,71.0
17.0,98.0,Media,Alta,Si,9.0,70.0,Baja,Si,1.0,Alta,Media,Privada,Negativa,2.0,No,Preparatoria,Cerca,Masculino,70.0
28.0,87.0,Baja,Baja,Si,7.0,57.0,Desconocido,Si,2.0,Media,Alta,Privada,Negativa,4.0,No,Preparatoria,Desconocido,Masculino,68.0
15.0,83.0,Alta,Media,Si,10.0,84.0,Media,Si,1.0,Alta,Alta,Publica,Negativa,2.0,No,Universidad,Cerca,Masculino,68.0
19.0,98.0,Media,Alta,No,9.0,90.0,Baja,No,1.0,Alta,Media,Privada,Positivo,2.0,No,Universidad,Lejos,Femenino,70.0
0,78.0,Media,Alta,No,7.0,64.0,Media,Si,0.0,Baja,Media,Privada,Neutral,3.0,No,Preparatoria,Cerca,Femenino,65.0
29.0,84.0,Alta,Media,Si,6.0,90.0,Media,Desconocido,0.0,Media,Alta,Publica,Desconocido,3.0,No,Posgrado,Lejos,Masculino,73.0
21.0,79.0,Alta,Desconocido,No,4.0,64.0,Baja,Si,0.0,Baja,Alta,Publica,Desconocido,4.0,No,Desconocido,Moderado,Masculino,66.0
26.0,97.0,Media,Media,No,8.0,85.0,Baja,No,2.0,Alta,Baja,Publica,Neutral,3.0,No,Preparatoria,Cerca,Masculino,71.0
11.0,63.0,Alta,Media,Desconocido,9.0,56.0,Alta,Si,2.0,Media,Media,Publica,Neutral,3.0,No,Preparatoria,Cerca,Femenino,62.0
22.0,80.0,Media,Media,Si,8.0,71.0,Alta,Si,2.0,Baja,Media,Privada,Positivo,3.0,No,Preparatoria,Cerca,Femenino,68.0
25.0,87.0,Media,Desconocido,No,4.0,76.0,Baja,Si,1.0,Baja,Alta,Publica,Positivo,4.0,No,Universidad,Lejos,Masculino,70.0
0,92.0,Media,Baja,No,5.0,86.0,Baja,Desconocido,0.0,Desconocido,Media,Publica,Neutral,2.0,Desconocido,Posgrado,Moderado,Femenino,68.0
26.0,83.0,Alta,Baja,Si,8.0,83.0,Desconocido,Si,2.0,Baja,Alta,Publica,Neutral,2.0,No,Universidad,Cerca,Femenino,71.0
17.0,96.0,Media,Media,Si,10.0,93.0,Media,Si,2.0,Media,Baja,Publica,Negativa,4.0,No,Preparatoria,Cerca,Femenino,70.0
28.0,98.0,Media,Media,Si,7.0,59.0,Media,Si,1.0,Baja,Media,Publica,Positivo,3.0,No,Preparatoria,Cerca,Masculino,72.0
34.0,63.0,Media,Alta,Si,9.0,83.0,Media,Si,0,Media,Alta,Publica,Negativa,2.0,No,Universidad,Moderado,Masculino,69.0
18.0,76.0,Media,Alta,No,5.0,56.0,Media,Si,1.0,Baja,Baja,Publica,Negativa,2.0,No,Universidad,Moderado,Masculino,63.0
17.0,61.0,Media,Media,No,7.0,74.0,Alta,Si,0.0,Media,Media,Publica,Neutral,2.0,No,Posgrado,Cerca,Femenino,62.0
29.0,73.0,Media,Desconocido,No,7.0,76.0,Media,Si,2.0,Baja,Desconocido,Privada,Neutral,3.0,No,Preparatoria,Cerca,Desconocido,68.0
29.0,81.0,Baja,Desconocido,Si,9.0,51.0,Baja,Desconocido,2.0,Media,Media,Publica,Positivo,5.0,No,Posgrado,Cerca,Masculino,70.0
17.0,96.0,Media,Media,Si,6.0,54.0,Media,Si,1.0,Media,Media,Privada,Positivo,4.0,No,Preparatoria,Cerca,Masculino,69.0
17.0,94.0,Media,Media,No,10.0,92.0,Baja,Si,2.0,Baja,Media,Privada,Negativa,2.0,No,Preparatoria,Cerca,Masculino,68.0
18.0,65.0,Alta,Media,Si,7.0,64.0,Media,Si,2.0,Alta,Media,Publica,Positivo,1.0,No,Preparatoria,Cerca,Masculino,0.0
12.0,64.0,Media,Baja,No,5.0,67.0,Media,Si,3.0,Baja,Media,Privada,Positivo,2.0,Si,Preparatoria,Cerca,Masculino,59.0
14.0,84.0,Media,Media,No,5.0,82.0,Media,Si,3.0,Baja,Media,Publica,Positivo,3.0,No,Universidad,Lejos,Masculino,66.0
0,0,Alta,Media,No,0.0,61.0,Baja,Si,0.0,Baja,Media,Publica,Positivo,4.0,No,Preparatoria,Moderado,Masculino,64.0
15.0,71.0,Baja,Media,No,8.0,60.0,Alta,No,5.0,Baja,Desconocido,Publica,Positivo,4.0,No,Preparatoria,Lejos,Femenino,63.0
0,96.0,Media,Media,No,6.0,71.0,Media,Si,5.0,Baja,Alta,Publica,Neutral,3.0,No,Desconocido,Cerca,Masculino,72.0
21.0,97.0,Media,Alta,Si,6.0,53.0,Baja,Si,0.0,Baja,Media,Publica,Negativa,3.0,Si,Preparatoria,Moderado,Desconocido,67.0
29.0,76.0,Media,Media,No,8.0,96.0,Baja,Si,2.0,Baja,Media,Publica,Positivo,2.0,No,Posgrado,Desconocido,Masculino,94.0
14.0,96.0,Media,Alta,Desconocido,4.0,97.0,Baja,Si,2.0,Media,Media,Publica,Negativa,3.0,No,Preparatoria,Cerca,Femenino,70.0
26.0,75.0,Baja,Media,No,6.0,72.0,Media,Si,0.0,Baja,Alta,Publica,Neutral,3.0,No,Preparatoria,Cerca,Masculino,66.0
19.0,89.0,Baja,Media,Si,5.0,60.0,Baja,Si,4.0,Media,Media,Publica,Positivo,2.0,No,Posgrado,Moderado,Femenino,69.0
20.0,79.0,Media,Baja,Si,6.0,74.0,Baja,Si,2.0,Baja,Media,Publica,Positivo,2.0,No,Preparatoria,Lejos,Masculino,64.0
24.0,65.0,Media,Media,No,7.0,55.0,Baja,Si,1.0,Baja,Alta,Privada,Positivo,3.0,Si,Preparatoria,Cerca,Femenino,63.0
13.0,97.0,Alta,Alta,No,7.0,70.0,Media,Si,1.0,Desconocido,Alta,Publica,Neutral,4.0,No,Posgrado,Cerca,Femenino,71.0
22.0,78.0,Desconocido,Media,No,7.0,54.0,Media,Si,1.0,Media,Media,Publica,Negativa,3.0,Si,Preparatoria,Moderado,Masculino,0.0
21.0,89.0,Desconocido,Media,Si,9.0,85.0,Baja,Si,1.0,Media,Media,Publica,Negativa,5.0,No,Universidad,Lejos,Femenino,68.0
23.0,75.0,Media,Media,No,7.0,64.0,Alta,Si,1.0,Baja,Media,Publica,Negativa,3.0,Si,Preparatoria,Moderado,Desconocido,64.0
22.0,61.0,Baja,Baja,Si,10.0,76.0,Alta,Si,1.0,Alta,Alta,Publica,Desconocido,2.0,No,Universidad,Cerca,Masculino,64.0
35.0,64.0,Media,Media,Si,8.0,51.0,Media,Si,2.0,Media,Media,Publica,Negativa,5.0,Si,Preparatoria,Cerca,Masculino,66.0
16.0,80.0,Alta,Media,No,6.0,76.0,Media,Si,1.0,Media,Desconocido,Publica,Positivo,4.0,No,Universidad,Cerca,Masculino,68.0
17.0,88.0,Media,Media,No,10.0,0,Media,Si,3.0,Baja,Alta,Publica,Neutral,5.0,No,Universidad,Moderado,Femenino,67.0
16.0,73.0,Baja,Alta,Si,7.0,0,Desconocido,Si,1.0,Media,Media,Privada,Positivo,3.0,No,Preparatoria,Moderado,Femenino,66.0
17.0,88.0,Media,Media,Si,10.0,75.0,Media,Si,2.0,Media,Media,Publica,Desconocido,3.0,No,Preparatoria,Cerca,Masculino,68.0
16.0,88.0,Baja,Media,No,7.0,55.0,Media,Si,3.0,Desconocido,Baja,Publica,Neutral,3.0,No,Posgrado,Cerca,Masculino,66.0
27.0,88.0,Media,Media,No,7.0,67.0,Media,Si,3.0,Alta,Media,Publica,Desconocido,4.0,No,Universidad,Lejos,Masculino,71.0
29.0,80.0,Media,Alta,Si,8.0,52.0,Media,Si,4.0,Baja,Media,Publica,Positivo,4.0,No,Preparatoria,Moderado,Femenino,71.0
17.0,97.0,Media,Alta,No,7.0,77.0,Media,Si,0.0,Baja,Media,Privada,Negativa,4.0,No,Universidad,Lejos,Masculino,68.0
15.0,80.0,Alta,Baja,No,9.0,56.0,Alta,Si,3.0,Media,Media,Publica,Neutral,3.0,Si,Preparatoria,Cerca,Femenino,64.0
23.0,78.0,Media,Media,Si,10.0,74.0,Baja,Si,3.0,Media,Media,Publica,Negativa,4.0,No,Preparatoria,Moderado,Masculino,67.0
17.0,68.0,Alta,Media,Si,4.0,65.0,Alta,Si,0.0,Media,Media,Privada,Positivo,2.0,No,Preparatoria,Moderado,Masculino,64.0
24.0,72.0,Alta,Baja,Si,8.0,88.0,Alta,Si,3.0,Baja,Media,Publica,Positivo,2.0,No,Preparatoria,Cerca,Femenino,68.0
21.0,62.0,Media,Baja,No,6.0,74.0,Alta,Si,0.0,Baja,Alta,Privada,Positivo,3.0,Si,Posgrado,Lejos,Masculino,62.0
11.0,85.0,Media,Baja,Si,4.0,92.0,Baja,Si,0.0,Media,Alta,Publica,Neutral,1.0,No,Universidad,Cerca,Masculino,64.0
29.0,70.0,Desconocido,Alta,No,8.0,97.0,Baja,Si,3.0,Baja,Alta,Publica,Positivo,3.0,No,Posgrado,Moderado,Masculino,70.0
31.0,72.0,Media,Media,No,8.0,98.0,Alta,Si,0.0,Baja,Media,Publica,Neutral,4.0,No,Universidad,Desconocido,Masculino,68.0
16.0,91.0,Media,Media,No,8.0,63.0,Alta,Si,2.0,Media,Alta,Publica,Neutral,3.0,No,Universidad,Cerca,Femenino,69.0
18.0,73.0,Baja,Media,Si,8.0,88.0,Baja,Desconocido,3.0,Baja,Media,Publica,Positivo,4.0,No,Universidad,Moderado,Masculino,65.0
22.0,70.0,Media,Alta,Si,8.0,72.0,Media,Si,2.0,Alta,Media,Publica,Neutral,3.0,No,Preparatoria,Cerca,Masculino,0.0
22.0,67.0,Alta,Media,No,6.0,71.0,Baja,Si,2.0,Media,Desconocido,Publica,Positivo,2.0,No,Universidad,Moderado,Masculino,65.0
24.0,91.0,Alta,Media,No,7.0,93.0,Baja,Si,0.0,Desconocido,Media,Desconocido,Positivo,2.0,No,Preparatoria,Desconocido,Masculino,71.0
32.0,65.0,Media,Baja,Si,8.0,57.0,Baja,Si,2.0,Baja,Media,Publica,Positivo,3.0,No,Preparatoria,Moderado,Femenino,65.0
19.0,78.0,Media,Desconocido,Si,9.0,74.0,Baja,Si,2.0,Baja,Media,Publica,Positivo,5.0,No,Preparatoria,Moderado,Femenino,66.0
15.0,80.0,Alta,Media,No,7.0,80.0,Media,Si,0.0,Baja,Baja,Publica,Neutral,5.0,No,Preparatoria,Cerca,Femenino,65.0
12.0,87.0,Media,Media,Desconocido,7.0,53.0,Baja,Si,2.0,Media,Media,Privada,Neutral,1.0,No,Universidad,Cerca,Masculino,65.0
16.0,85.0,Desconocido,Media,No,7.0,93.0,Alta,Si,1.0,Media,Alta,Publica,Positivo,3.0,No,Preparatoria,Cerca,Masculino,68.0
20.0,92.0,Desconocido,Media,Si,5.0,66.0,Media,Si,2.0,Media,Media,Publica,Negativa,2.0,Si,Universidad,Moderado,Masculino,68.0
31.0,62.0,Alta,Media,No,8.0,83.0,Media,Si,0.0,Media,Alta,Privada,Desconocido,2.0,Si,Universidad,Cerca,Femenino,67.0
17.0,72.0,Baja,Media,Si,5.0,96.0,Alta,Si,3.0,Desconocido,Media,Publica,Negativa,3.0,Desconocido,Preparatoria,Moderado,Masculino,65.0
21.0,71.0,Media,Baja,No,8.0,0,Media,Si,2.0,Media,Alta,Publica,Neutral,2.0,No,Universidad,Cerca,Masculino,66.0
20.0,66.0,Media,Media,Si,7.0,94.0,Baja,Si,0.0,Media,Baja,Desconocido,Neutral,4.0,No,Preparatoria,Moderado,Femenino,63.0
27.0,72.0,Alta,Alta,Desconocido,5.0,53.0,Media,Si,1.0,Alta,Desconocido,Privada,Neutral,5.0,No,Posgrado,Desconocido,Masculino,70.0
35.0,72.0,Alta,Alta,Si,5.0,75.0,Media,Si,1.0,Baja,Media,Publica,Positivo,5.0,No,Universidad,Moderado,Masculino,72.0
17.0,81.0,Media,Alta,No,6.0,78.0,Media,Si,2.0,Baja,Desconocido,Desconocido,Positivo,2.0,No,Preparatoria,Moderado,Masculino,67.0
17.0,87.0,Alta,Baja,Si,6.0,84.0,Media,Si,0.0,Media,Media,Publica,Positivo,3.0,No,Universidad,Lejos,Masculino,67.0
26.0,75.0,Desconocido,Media,Si,9.0,56.0,Media,Si,1.0,Baja,Media,Publica,Positivo,5.0,No,Desconocido,Moderado,Masculino,66.0
24.0,89.0,Desconocido,Media,No,7.0,83.0,Media,No,1.0,Baja,Baja,Publica,Neutral,3.0,No,Preparatoria,Moderado,Desconocido,66.0
31.0,73.0,Alta,Media,Si,8.0,57.0,Media,Si,2.0,Baja,Alta,Publica,Neutral,4.0,No,Preparatoria,Lejos,Masculino,69.0
24.0,72.0,Media,Baja,Si,9.0,53.0,Media,Si,0,Baja,Alta,Privada,Neutral,4.0,Si,Preparatoria,Moderado,Masculino,62.0
18.0,82.0,Desconocido,Media,No,9.0,73.0,Baja,Si,0,Baja,Media,Publica,Positivo,4.0,No,Universidad,Cerca,Femenino,66.0
24.0,61.0,Media,Media,No,7.0,80.0,Alta,Si,0.0,Baja,Media,Publica,Positivo,0,No,Posgrado,Moderado,Masculino,64.0
27.0,63.0,Alta,Media,Si,6.0,98.0,Media,Si,1.0,Baja,Alta,Publica,Desconocido,2.0,No,Preparatoria,Moderado,Femenino,67.0
25.0,77.0,Alta,Alta,No,8.0,85.0,Media,Si,2.0,Desconocido,Media,Publica,Positivo,1.0,No,Universidad,Cerca,Masculino,71.0
23.0,98.0,Alta,Media,Si,6.0,80.0,Media,Si,1.0,Media,Media,Publica,Positivo,2.0,No,Desconocido,Moderado,Masculino,73.0
26.0,89.0,Media,Baja,Si,10.0,61.0,Baja,Si,0,Media,Alta,Publica,Neutral,3.0,Desconocido,Preparatoria,Moderado,Femenino,68.0
27.0,64.0,Alta,Baja,Si,8.0,58.0,Media,Desconocido,2.0,Alta,Alta,Publica,Neutral,1.0,No,Posgrado,Lejos,Masculino,66.0
28.0,94.0,Media,Alta,Si,7.0,80.0,Media,Si,3.0,Baja,Alta,Publica,Positivo,4.0,No,Posgrado,Lejos,Masculino,75.0
24.0,89.0,Media,Alta,Si,8.0,61.0,Media,Si,1.0,Baja,Alta,Publica,Positivo,3.0,No,Posgrado,Desconocido,Femenino,72.0
19.0,84.0,Alta,Baja,Si,7.0,85.0,Media,Si,1.0,Alta,Desconocido,Privada,Neutral,3.0,No,Preparatoria,Cerca,Masculino,68.0
21.0,93.0,Media,Media,Si,6.0,56.0,Media,No,1.0,Baja,Media,Publica,Positivo,3.0,No,Preparatoria,Cerca,Masculino,68.0
